# Kodak Wratten 29 (deep red): cut ~610 nm, narrower/redder than 25.
# aliases: deep-red wratten29
# Digitized from Kodak Wratten Filters for Scientific and Technical Use,
# 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance tables.
# 400-700 nm at 10 nm; book dashes = negligible -> 0. Loader clamps outside range.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.1050
620,0.4500
630,0.7350
640,0.8420
650,0.8780
660,0.8920
670,0.8980
680,0.9030
690,0.9040
700,0.9050
