# Kodak Wratten 58 (tricolor green): bandpass ~490-590 nm, peak ~530 nm.
# aliases: green wratten58 tricolor-green
# Digitized from Kodak Wratten Filters for Scientific and Technical Use,
# 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance tables.
# 400-700 nm at 10 nm; book dashes = negligible -> 0. Loader clamps outside range.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0023
480,0.0138
490,0.0490
500,0.1770
510,0.3880
520,0.5220
530,0.5360
540,0.4760
550,0.3840
560,0.2780
570,0.1740
580,0.0900
590,0.0350
600,0.0150
610,0.0041
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0000
670,0.0000
680,0.0000
690,0.0000
700,0.0053
