# Kodak Wratten 11: yellow-green (X1).
# aliases: wratten11 yellow-green
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0016
430,0.0029
440,0.0056
450,0.0132
460,0.0400
470,0.1200
480,0.2600
490,0.4370
500,0.5500
510,0.6000
520,0.6020
530,0.5780
540,0.5420
550,0.5000
560,0.4480
570,0.3890
580,0.3310
590,0.2760
600,0.2270
610,0.1900
620,0.1490
630,0.1140
640,0.0910
650,0.0805
660,0.0750
670,0.0705
680,0.0650
690,0.0610
700,0.0620
