# Kodak Wratten 13: yellow-green (X2).
# aliases: wratten13
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0018
440,0.0050
450,0.0135
460,0.0408
470,0.1100
480,0.2350
490,0.3900
500,0.5080
510,0.5520
520,0.5650
530,0.5500
540,0.5100
550,0.4600
560,0.3920
570,0.3200
580,0.2510
590,0.1820
600,0.1350
610,0.0960
620,0.0640
630,0.0366
640,0.0220
650,0.0158
660,0.0174
670,0.0262
680,0.0355
690,0.0448
700,0.0525
