# Kodak Wratten 15: deep yellow (G).
# aliases: wratten15
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0100
520,0.1940
530,0.5620
540,0.7760
550,0.8560
560,0.8820
570,0.8930
580,0.8980
590,0.9010
600,0.9040
610,0.9060
620,0.9070
630,0.9070
640,0.9080
650,0.9080
660,0.9100
670,0.9100
680,0.9110
690,0.9110
700,0.9110
