# Kodak Wratten 21: orange (cut ~540 nm).
# aliases: wratten21 orange orange-21
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0250
550,0.2900
560,0.6500
570,0.8060
580,0.8540
590,0.8730
600,0.8810
610,0.8870
620,0.8900
630,0.8950
640,0.8990
650,0.9020
660,0.9040
670,0.9050
680,0.9050
690,0.9060
700,0.9060
