# Kodak Wratten 22: deep orange.
# aliases: wratten22 deep-orange
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0025
560,0.1900
570,0.6000
580,0.0000
590,0.8700
600,0.8850
610,0.8900
620,0.8950
630,0.8980
640,0.9000
650,0.9010
660,0.9020
670,0.9030
680,0.9040
690,0.9050
700,0.9060
