# Kodak Wratten 25: tricolor red (A), cut ~590 nm.
# aliases: wratten25 red red-25 tricolor-red
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.1260
600,0.5000
610,0.7500
620,0.8260
630,0.8550
640,0.8670
650,0.8760
660,0.8820
670,0.8850
680,0.8900
690,0.8930
700,0.8950
