# Kodak Wratten 29: deep red (F), cut ~610 nm.
# aliases: wratten29 deep-red deep-red-29
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.1050
620,0.4500
630,0.7350
640,0.8420
650,0.8780
660,0.8920
670,0.8980
680,0.9030
690,0.9040
700,0.9050
