# Kodak Wratten 30: magenta.
# aliases: wratten30 magenta
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.5050
410,0.4880
420,0.4920
430,0.5060
440,0.4970
450,0.4520
460,0.2680
470,0.1260
480,0.0473
490,0.0062
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.1500
580,0.5380
590,0.7950
600,0.8720
610,0.8920
620,0.8990
630,0.9030
640,0.9050
650,0.9060
660,0.9080
670,0.9090
680,0.9100
690,0.9100
700,0.9110
