# Kodak Wratten 31: magenta.
# aliases: wratten31
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.1380
410,0.1450
420,0.1640
430,0.2550
440,0.4270
450,0.5020
460,0.4040
470,0.2260
480,0.0820
490,0.0185
500,0.0012
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0063
600,0.2600
610,0.6720
620,0.8400
630,0.8810
640,0.8980
650,0.9020
660,0.9040
670,0.9050
680,0.9070
690,0.9070
700,0.9100
