# Kodak Wratten 34: violet.
# aliases: wratten34 violet
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.6400
410,0.7010
420,0.7200
430,0.6840
440,0.5820
450,0.4230
460,0.2520
470,0.1210
480,0.0270
490,0.0020
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0040
650,0.0400
660,0.2070
670,0.4520
680,0.6650
690,0.7880
700,0.8500
