# Kodak Wratten 35: purple.
# aliases: wratten35 purple
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.4800
410,0.5700
420,0.5760
430,0.4750
440,0.2950
450,0.1230
460,0.0350
470,0.0025
480,0.0000
490,0.0000
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0010
660,0.0300
670,0.1900
680,0.4350
690,0.6600
700,0.7770
