# Kodak Wratten 36: dark blue-violet.
# aliases: wratten36
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.3650
410,0.4550
420,0.4550
430,0.3270
440,0.1520
450,0.0370
460,0.0035
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0000
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0021
670,0.0750
680,0.2900
690,0.5500
700,0.7130
