# Kodak Wratten 38A: blue (minus red).
# aliases: wratten38a
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.3390
410,0.4350
420,0.5310
430,0.5750
440,0.5810
450,0.5670
460,0.5420
470,0.5100
480,0.4750
490,0.4380
500,0.3970
510,0.3570
520,0.3180
530,0.2770
540,0.2280
550,0.1820
560,0.1370
570,0.0960
580,0.0630
590,0.0390
600,0.0260
610,0.0160
620,0.0100
630,0.0050
640,0.0020
650,0.0000
660,0.0000
670,0.0000
680,0.0000
690,0.0000
700,0.0000
