# Kodak Wratten 39: blue-violet.
# aliases: wratten39
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.8520
410,0.7820
420,0.7050
430,0.6330
440,0.5360
450,0.4250
460,0.2850
470,0.1730
480,0.1020
490,0.0400
500,0.0133
510,0.0035
520,0.0000
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0000
670,0.0000
680,0.0050
690,0.0406
700,0.1780
