# Kodak Wratten 44A: light blue-green.
# aliases: wratten44a cyan
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0155
410,0.0141
420,0.0339
430,0.1350
440,0.3070
450,0.4300
460,0.4950
470,0.5230
480,0.5330
490,0.5230
500,0.4910
510,0.4430
520,0.3760
530,0.2890
540,0.1910
550,0.1070
560,0.0468
570,0.0138
580,0.0019
590,0.0000
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0000
670,0.0000
680,0.0000
690,0.0021
700,0.0071
