# Kodak Wratten 48: blue.
# aliases: wratten48
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0096
410,0.0316
420,0.0825
430,0.1500
440,0.2260
450,0.3030
460,0.3320
470,0.2960
480,0.2240
490,0.1410
500,0.0730
510,0.0264
520,0.0050
530,0.0000
540,0.0000
550,0.0000
560,0.0000
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0000
670,0.0000
680,0.0000
690,0.0000
700,0.0000
