# Kodak Wratten 6: light yellow (K1).
# aliases: wratten6
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0740
410,0.0832
420,0.1040
430,0.1350
440,0.1890
450,0.2760
460,0.3900
470,0.5230
480,0.6580
490,0.7680
500,0.8350
510,0.8700
520,0.8840
530,0.8900
540,0.8940
550,0.8970
560,0.8990
570,0.9010
580,0.9030
590,0.9050
600,0.9060
610,0.9070
620,0.9080
630,0.9090
640,0.9100
650,0.9110
660,0.9120
670,0.9120
680,0.9130
690,0.9140
700,0.9150
