# Kodak Wratten 61: deep green (N).
# aliases: wratten61 deep-green
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0033
490,0.0400
500,0.1660
510,0.3230
520,0.4000
530,0.3960
540,0.3450
550,0.2630
560,0.1730
570,0.0970
580,0.0440
590,0.0166
600,0.0038
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0000
670,0.0000
680,0.0000
690,0.0000
700,0.0000
