# Kodak Wratten 64: blue-green (cyan).
# aliases: wratten64
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0030
410,0.0150
420,0.0330
430,0.0640
440,0.1150
450,0.1780
460,0.2630
470,0.3650
480,0.4710
490,0.5570
500,0.6150
510,0.6310
520,0.6020
530,0.5370
540,0.4440
550,0.2980
560,0.1570
570,0.0790
580,0.0370
590,0.0120
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0000
670,0.0000
680,0.0000
690,0.0000
700,0.0000
