# Kodak Wratten 65A: blue-green.
# aliases: wratten65a
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0016
440,0.0132
450,0.0550
460,0.1300
470,0.2490
480,0.3660
490,0.4510
500,0.4580
510,0.3970
520,0.2970
530,0.1780
540,0.0790
550,0.0240
560,0.0032
570,0.0000
580,0.0000
590,0.0000
600,0.0000
610,0.0000
620,0.0000
630,0.0000
640,0.0000
650,0.0000
660,0.0000
670,0.0000
680,0.0000
690,0.0020
700,0.0218
