# Kodak Wratten 77: green (photometric, narrow).
# aliases: wratten77
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0000
510,0.0030
520,0.0910
530,0.1350
540,0.4610
550,0.7800
560,0.7580
570,0.0800
580,0.0100
590,0.0032
600,0.1620
610,0.5210
620,0.8300
630,0.8490
640,0.8810
650,0.8980
660,0.8980
670,0.8550
680,0.7610
690,0.7500
700,0.8650
