# Kodak Wratten 79: grey / photometric.
# aliases: wratten79
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.2400
410,0.2600
420,0.2900
430,0.3100
440,0.3220
450,0.3270
460,0.3140
470,0.2880
480,0.2560
490,0.2220
500,0.1930
510,0.1680
520,0.1420
530,0.1270
540,0.1180
550,0.1100
560,0.0976
570,0.0881
580,0.0850
590,0.0829
600,0.0756
610,0.0645
620,0.0000
630,0.0417
640,0.0347
650,0.0316
660,0.0309
670,0.0316
680,0.0316
690,0.0316
700,0.0331
