# Kodak Wratten 8: yellow (K2).
# aliases: wratten8 yellow-k2
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; visually transcribed from the table image (no text layer).
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0025
470,0.0550
480,0.1900
490,0.4100
500,0.6350
510,0.7800
520,0.8410
530,0.8650
540,0.8770
550,0.8840
560,0.8880
570,0.8920
580,0.8950
590,0.8980
600,0.9010
610,0.9030
620,0.9050
630,0.9070
640,0.9090
650,0.9100
660,0.9110
670,0.9120
680,0.9130
690,0.9140
700,0.9150
