# Kodak Wratten 9: deep yellow (K3).
# aliases: wratten9 deep-yellow-k3
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0178
480,0.0831
490,0.2070
500,0.3450
510,0.4880
520,0.6200
530,0.7600
540,0.8380
550,0.8700
560,0.8830
570,0.8880
580,0.8910
590,0.8930
600,0.8950
610,0.8970
620,0.8980
630,0.8990
640,0.9000
650,0.9010
660,0.9010
670,0.9020
680,0.9020
690,0.9030
700,0.9030
