# Kodak Wratten 96: neutral density.
# aliases: wratten96
# Digitized from Kodak Wratten Filters for Scientific and Technical
# Use, 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance
# tables, 400-700 nm @ 10 nm; coordinate-extracted from the PDF text layer.
wavelength_nm,transmittance
400,0.0428
410,0.0491
420,0.0550
430,0.0617
440,0.0692
450,0.0750
460,0.0781
470,0.0500
480,0.0847
490,0.0860
500,0.0873
510,0.0885
520,0.0890
530,0.0901
540,0.0907
550,0.0920
560,0.0930
570,0.0920
580,0.0919
590,0.0954
600,0.0964
610,0.0973
620,0.0956
630,0.0927
640,0.0910
650,0.0907
660,0.0900
670,0.0913
680,0.0908
690,0.0921
700,0.0952
