# Kodak Wratten 12 (minus blue): cut ~500 nm, blocks blue, passes green->red.
# aliases: yellow minus-blue wratten12
# Digitized from Kodak Wratten Filters for Scientific and Technical Use,
# 22nd ed. (Eastman Kodak, pub. B-3), numeric transmittance tables.
# 400-700 nm at 10 nm; book dashes = negligible -> 0. Loader clamps outside range.
wavelength_nm,transmittance
400,0.0000
410,0.0000
420,0.0000
430,0.0000
440,0.0000
450,0.0000
460,0.0000
470,0.0000
480,0.0000
490,0.0000
500,0.0150
510,0.1730
520,0.5500
530,0.7780
540,0.8600
550,0.8840
560,0.8940
570,0.8970
580,0.9010
590,0.9030
600,0.9040
610,0.9050
620,0.9070
630,0.9080
640,0.9090
650,0.9100
660,0.9110
670,0.9120
680,0.9120
690,0.9120
700,0.9130
