# GE ConstantColor CMH G12 ceramic metal-halide, cool white (CCT 4200 K, Ra 80-90).
# aliases: cmh-4200k metal-halide-4200k ceramic-metal-halide-4200k cool-white-mh
# Digitized from the spectral-power-distribution plot on p.4 of the GE
# ConstantColor CMH G12 datasheet (BD-ConstantColor_CMH, Sep 2013) using
# tools/plot_digitizer.py (fill-top mode, 390-750 nm at 2 nm, peak-normalized).
# Faithful trace of the plot envelope incl. In/Tl/Na + rare-earth emission
# lines; no chromaticity re-tuning. CIE 1931 2deg xy = (0.3702, 0.3598)
# vs datasheet-rated (0.379, 0.374).
wavelength_nm,relative_power
390,0.1836
392,0.1836
394,0.1956
396,0.2008
398,0.1943
400,0.1986
402,0.2069
404,0.2244
406,0.2490
408,0.2486
410,0.2519
412,0.3151
414,0.3263
416,0.3032
418,0.3096
420,0.3080
422,0.3421
424,0.3797
426,0.3529
428,0.3509
430,0.3395
432,0.3195
434,0.3899
436,0.4175
438,0.3305
440,0.3107
442,0.3132
444,0.3319
446,0.3126
448,0.2825
450,0.2850
452,0.3007
454,0.3087
456,0.3298
458,0.3421
460,0.3544
462,0.3472
464,0.3222
466,0.3226
468,0.3322
470,0.3224
472,0.3282
474,0.3040
476,0.3008
478,0.3049
480,0.2952
482,0.2865
484,0.2624
486,0.2776
488,0.2977
490,0.2872
492,0.2971
494,0.3015
496,0.3042
498,0.3072
500,0.3091
502,0.3416
504,0.3779
506,0.3664
508,0.3208
510,0.3096
512,0.3247
514,0.3102
516,0.3307
518,0.3314
520,0.3192
522,0.3190
524,0.3131
526,0.3284
528,0.3504
530,0.3907
532,0.4862
534,0.7746
536,1.0000
538,0.8980
540,0.6107
542,0.4215
544,0.5389
546,0.5959
548,0.3777
550,0.3245
552,0.3166
554,0.3316
556,0.3457
558,0.3643
560,0.3731
562,0.4044
564,0.4299
566,0.4475
568,0.4695
570,0.4035
572,0.3804
574,0.4339
576,0.4723
578,0.4264
580,0.3865
582,0.3651
584,0.4195
586,0.4992
588,0.4830
590,0.5893
592,0.7808
594,0.7469
596,0.7216
598,0.6811
600,0.5797
602,0.5259
604,0.4930
606,0.4966
608,0.5067
610,0.4943
612,0.4837
614,0.5069
616,0.5228
618,0.4430
620,0.4019
622,0.4010
624,0.4580
626,0.4949
628,0.4648
630,0.4548
632,0.4206
634,0.4424
636,0.4822
638,0.4860
640,0.4414
642,0.4202
644,0.4661
646,0.4753
648,0.4009
650,0.3416
652,0.3298
654,0.3677
656,0.3855
658,0.3892
660,0.3945
662,0.3553
664,0.3311
666,0.3316
668,0.3166
670,0.2989
672,0.2933
674,0.2876
676,0.3112
678,0.3147
680,0.2738
682,0.3290
684,0.3623
686,0.2831
688,0.2306
690,0.2242
692,0.2294
694,0.2515
696,0.2301
698,0.2007
700,0.1991
702,0.1828
704,0.1707
706,0.1586
708,0.1537
710,0.1537
712,0.1594
714,0.1616
716,0.1475
718,0.1413
720,0.1511
722,0.1452
724,0.1376
726,0.1324
728,0.1281
730,0.1260
732,0.1238
734,0.1200
736,0.1227
738,0.1279
740,0.1254
742,0.1208
744,0.1110
746,0.1110
748,0.1110
750,0.1110
