# Amber LED (AlInGaP), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~594 nm. CIE 1931 xy=(0.573,0.424).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 10 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00000
352,0.00050
354,0.00035
356,0.00000
358,0.00017
360,0.00035
362,0.00343
364,0.00000
366,0.00029
368,0.00000
370,0.00000
372,0.00000
374,0.00000
376,0.00000
378,0.00192
380,0.00201
382,0.00098
384,0.00239
386,0.00037
388,0.00427
390,0.00000
392,0.00096
394,0.00083
396,0.00000
398,0.00000
400,0.00086
402,0.00168
404,0.00076
406,0.00029
408,0.00158
410,0.00002
412,0.00000
414,0.00000
416,0.00087
418,0.00014
420,0.00129
422,0.00074
424,0.00000
426,0.00022
428,0.00000
430,0.00000
432,0.00000
434,0.00160
436,0.00038
438,0.00128
440,0.00092
442,0.00135
444,0.00063
446,0.00170
448,0.00000
450,0.00028
452,0.00000
454,0.00000
456,0.00000
458,0.00000
460,0.00000
462,0.00000
464,0.00125
466,0.00006
468,0.00000
470,0.00000
472,0.00000
474,0.00000
476,0.00063
478,0.00000
480,0.00077
482,0.00081
484,0.00000
486,0.00000
488,0.00000
490,0.00122
492,0.00029
494,0.00000
496,0.00000
498,0.00043
500,0.00000
502,0.00054
504,0.00000
506,0.00030
508,0.00000
510,0.00000
512,0.00000
514,0.00037
516,0.00082
518,0.00031
520,0.00025
522,0.00000
524,0.00089
526,0.00000
528,0.00023
530,0.00017
532,0.00000
534,0.00057
536,0.00000
538,0.00060
540,0.00091
542,0.00177
544,0.00193
546,0.00223
548,0.00255
550,0.00368
552,0.00548
554,0.00626
556,0.00806
558,0.01178
560,0.01454
562,0.01930
564,0.02708
566,0.03380
568,0.04489
570,0.06012
572,0.07931
574,0.10317
576,0.13565
578,0.17853
580,0.23691
582,0.31354
584,0.41059
586,0.53145
588,0.68529
590,0.85038
592,0.99069
594,1.00000
596,0.83696
598,0.58749
600,0.38061
602,0.24947
604,0.16787
606,0.11101
608,0.07413
610,0.04598
612,0.03046
614,0.02153
616,0.01628
618,0.01273
620,0.00792
622,0.00605
624,0.00528
626,0.00267
628,0.00354
630,0.00121
632,0.00168
634,0.00213
636,0.00239
638,0.00059
640,0.00102
642,0.00008
644,0.00022
646,0.00096
648,0.00084
650,0.00000
652,0.00049
654,0.00000
656,0.00015
658,0.00000
660,0.00054
662,0.00025
664,0.00016
666,0.00031
668,0.00013
670,0.00008
672,0.00000
674,0.00155
676,0.00000
678,0.00035
680,0.00069
682,0.00000
684,0.00000
686,0.00073
688,0.00027
690,0.00051
692,0.00193
694,0.00066
696,0.00152
698,0.00237
700,0.00041
