# Blue LED (InGaN), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~472 nm. CIE 1931 xy=(0.118,0.103).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 20 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00000
352,0.00060
354,0.00000
356,0.00056
358,0.00169
360,0.00040
362,0.00305
364,0.00000
366,0.00241
368,0.00105
370,0.00032
372,0.00033
374,0.00000
376,0.00000
378,0.00000
380,0.00043
382,0.00144
384,0.00000
386,0.00029
388,0.00000
390,0.00000
392,0.00000
394,0.00000
396,0.00000
398,0.00175
400,0.00000
402,0.00000
404,0.00098
406,0.00000
408,0.00138
410,0.00128
412,0.00029
414,0.00103
416,0.00000
418,0.00077
420,0.00015
422,0.00074
424,0.00007
426,0.00094
428,0.00247
430,0.00306
432,0.00368
434,0.00541
436,0.00907
438,0.01148
440,0.01729
442,0.02515
444,0.03573
446,0.05016
448,0.06918
450,0.09032
452,0.11816
454,0.15832
456,0.20925
458,0.27131
460,0.34401
462,0.45319
464,0.58013
466,0.71786
468,0.85474
470,0.96298
472,1.00000
474,0.96287
476,0.87035
478,0.74694
480,0.62432
482,0.52293
484,0.44840
486,0.39323
488,0.34348
490,0.29880
492,0.25220
494,0.21039
496,0.16778
498,0.13702
500,0.11086
502,0.09392
504,0.07845
506,0.06696
508,0.05721
510,0.04808
512,0.03911
514,0.03254
516,0.02682
518,0.02204
520,0.01903
522,0.01530
524,0.01231
526,0.01130
528,0.00995
530,0.00895
532,0.00760
534,0.00586
536,0.00553
538,0.00391
540,0.00368
542,0.00272
544,0.00275
546,0.00200
548,0.00161
550,0.00139
552,0.00182
554,0.00114
556,0.00191
558,0.00138
560,0.00140
562,0.00170
564,0.00102
566,0.00135
568,0.00136
570,0.00146
572,0.00123
574,0.00103
576,0.00084
578,0.00156
580,0.00074
582,0.00107
584,0.00154
586,0.00027
588,0.00109
590,0.00034
592,0.00163
594,0.00038
596,0.00102
598,0.00148
600,0.00069
602,0.00016
604,0.00049
606,0.00087
608,0.00080
610,0.00044
612,0.00000
614,0.00096
616,0.00067
618,0.00023
620,0.00000
622,0.00076
624,0.00112
626,0.00000
628,0.00061
630,0.00117
632,0.00068
634,0.00000
636,0.00010
638,0.00056
640,0.00000
642,0.00018
644,0.00012
646,0.00106
648,0.00040
650,0.00000
652,0.00022
654,0.00000
656,0.00073
658,0.00060
660,0.00000
662,0.00002
664,0.00000
666,0.00000
668,0.00000
670,0.00000
672,0.00000
674,0.00121
676,0.00000
678,0.00000
680,0.00041
682,0.00000
684,0.00000
686,0.00046
688,0.00000
690,0.00000
692,0.00061
694,0.00096
696,0.00023
698,0.00000
700,0.00041
