# Cyan LED (InGaN), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~506 nm. CIE 1931 xy=(0.086,0.602).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 17 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00000
352,0.00000
354,0.00000
356,0.00053
358,0.00000
360,0.00000
362,0.00000
364,0.00000
366,0.00209
368,0.00056
370,0.00354
372,0.00076
374,0.00085
376,0.00067
378,0.00000
380,0.00000
382,0.00000
384,0.00000
386,0.00000
388,0.00149
390,0.00000
392,0.00001
394,0.00000
396,0.00000
398,0.00000
400,0.00000
402,0.00153
404,0.00064
406,0.00040
408,0.00000
410,0.00000
412,0.00070
414,0.00000
416,0.00000
418,0.00009
420,0.00000
422,0.00044
424,0.00088
426,0.00000
428,0.00025
430,0.00000
432,0.00128
434,0.00042
436,0.00000
438,0.00000
440,0.00006
442,0.00117
444,0.00000
446,0.00120
448,0.00187
450,0.00096
452,0.00014
454,0.00304
456,0.00421
458,0.00783
460,0.01014
462,0.01408
464,0.01796
466,0.02477
468,0.03134
470,0.04508
472,0.06082
474,0.07803
476,0.10242
478,0.13506
480,0.17429
482,0.21848
484,0.27239
486,0.32876
488,0.39340
490,0.44965
492,0.51299
494,0.58168
496,0.65756
498,0.73747
500,0.82343
502,0.89845
504,0.96352
506,1.00000
508,0.99938
510,0.95060
512,0.88045
514,0.77755
516,0.67411
518,0.58606
520,0.51192
522,0.44714
524,0.39876
526,0.35143
528,0.30861
530,0.27144
532,0.23410
534,0.19650
536,0.16945
538,0.14189
540,0.12100
542,0.10238
544,0.08952
546,0.07631
548,0.06738
550,0.05621
552,0.04816
554,0.04305
556,0.03420
558,0.03072
560,0.02591
562,0.02230
564,0.01982
566,0.01714
568,0.01516
570,0.01379
572,0.01048
574,0.00891
576,0.00783
578,0.00714
580,0.00647
582,0.00586
584,0.00413
586,0.00451
588,0.00427
590,0.00367
592,0.00275
594,0.00214
596,0.00248
598,0.00127
600,0.00281
602,0.00003
604,0.00125
606,0.00168
608,0.00098
610,0.00154
612,0.00018
614,0.00077
616,0.00152
618,0.00031
620,0.00020
622,0.00000
624,0.00105
626,0.00070
628,0.00083
630,0.00070
632,0.00014
634,0.00146
636,0.00044
638,0.00000
640,0.00062
642,0.00071
644,0.00075
646,0.00035
648,0.00004
650,0.00022
652,0.00028
654,0.00127
656,0.00000
658,0.00000
660,0.00084
662,0.00000
664,0.00000
666,0.00000
668,0.00023
670,0.00000
672,0.00018
674,0.00130
676,0.00069
678,0.00000
680,0.00000
682,0.00002
684,0.00039
686,0.00000
688,0.00000
690,0.00000
692,0.00026
694,0.00000
696,0.00100
698,0.00026
700,0.00000
