# Deep-red LED (horticulture/photography) (AlInGaP), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~658 nm. CIE 1931 xy=(0.716,0.278).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 2 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00000
352,0.00173
354,0.00102
356,0.00117
358,0.00000
360,0.00000
362,0.00000
364,0.00000
366,0.00290
368,0.00056
370,0.00107
372,0.00197
374,0.00000
376,0.00202
378,0.00000
380,0.00000
382,0.00108
384,0.00081
386,0.00140
388,0.00000
390,0.00000
392,0.00044
394,0.00000
396,0.00047
398,0.00014
400,0.00000
402,0.00000
404,0.00000
406,0.00326
408,0.00000
410,0.00004
412,0.00069
414,0.00000
416,0.00030
418,0.00000
420,0.00056
422,0.00000
424,0.00007
426,0.00128
428,0.00070
430,0.00000
432,0.00000
434,0.00001
436,0.00000
438,0.00000
440,0.00103
442,0.00000
444,0.00053
446,0.00000
448,0.00000
450,0.00166
452,0.00282
454,0.00000
456,0.00018
458,0.00100
460,0.00000
462,0.00008
464,0.00000
466,0.00040
468,0.00000
470,0.00000
472,0.00053
474,0.00000
476,0.00009
478,0.00000
480,0.00027
482,0.00064
484,0.00000
486,0.00000
488,0.00041
490,0.00000
492,0.00000
494,0.00033
496,0.00008
498,0.00013
500,0.00045
502,0.00000
504,0.00000
506,0.00035
508,0.00005
510,0.00006
512,0.00001
514,0.00000
516,0.00037
518,0.00000
520,0.00000
522,0.00000
524,0.00000
526,0.00000
528,0.00000
530,0.00008
532,0.00000
534,0.00000
536,0.00087
538,0.00000
540,0.00000
542,0.00057
544,0.00002
546,0.00000
548,0.00060
550,0.00000
552,0.00000
554,0.00000
556,0.00017
558,0.00013
560,0.00000
562,0.00000
564,0.00000
566,0.00000
568,0.00027
570,0.00029
572,0.00086
574,0.00087
576,0.00000
578,0.00042
580,0.00006
582,0.00036
584,0.00036
586,0.00000
588,0.00000
590,0.00047
592,0.00004
594,0.00000
596,0.00059
598,0.00000
600,0.00177
602,0.00163
604,0.00226
606,0.00435
608,0.00524
610,0.00667
612,0.00863
614,0.01139
616,0.01447
618,0.01815
620,0.02561
622,0.02932
624,0.03881
626,0.04842
628,0.06073
630,0.07331
632,0.08886
634,0.10570
636,0.12971
638,0.15630
640,0.19523
642,0.24098
644,0.30041
646,0.36524
648,0.45455
650,0.54216
652,0.64227
654,0.75518
656,0.88664
658,1.00000
660,0.99689
662,0.82806
664,0.57592
666,0.38028
668,0.24672
670,0.16177
672,0.10983
674,0.07357
676,0.05038
678,0.03366
680,0.02379
682,0.01680
684,0.01309
686,0.00895
688,0.00731
690,0.00538
692,0.00334
694,0.00196
696,0.00230
698,0.00102
700,0.00122
