# Green LED (broad InGaN "green-gap" die) (InGaN), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~522 nm. CIE 1931 xy=(0.190,0.730).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 14 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00188
352,0.00000
354,0.00000
356,0.00000
358,0.00224
360,0.00000
362,0.00000
364,0.00191
366,0.00009
368,0.00219
370,0.00000
372,0.00000
374,0.00063
376,0.00164
378,0.00000
380,0.00185
382,0.00000
384,0.00161
386,0.00367
388,0.00217
390,0.00000
392,0.00132
394,0.00000
396,0.00000
398,0.00000
400,0.00000
402,0.00000
404,0.00000
406,0.00000
408,0.00101
410,0.00122
412,0.00000
414,0.00000
416,0.00025
418,0.00040
420,0.00040
422,0.00000
424,0.00041
426,0.00056
428,0.00000
430,0.00075
432,0.00110
434,0.00148
436,0.00000
438,0.00001
440,0.00140
442,0.00000
444,0.00000
446,0.00109
448,0.00166
450,0.00039
452,0.00277
454,0.00052
456,0.00035
458,0.00000
460,0.00004
462,0.00226
464,0.00222
466,0.00222
468,0.00360
470,0.00334
472,0.00551
474,0.00722
476,0.00870
478,0.01167
480,0.01509
482,0.02059
484,0.02409
486,0.03025
488,0.04129
490,0.05258
492,0.06632
494,0.08670
496,0.10902
498,0.13917
500,0.17681
502,0.22446
504,0.28401
506,0.36261
508,0.44429
510,0.53907
512,0.64559
514,0.74697
516,0.84396
518,0.92472
520,0.97943
522,1.00000
524,0.99403
526,0.96816
528,0.91304
530,0.85145
532,0.78096
534,0.71129
536,0.64768
538,0.58227
540,0.53075
542,0.47810
544,0.43183
546,0.38175
548,0.34196
550,0.29779
552,0.26113
554,0.23174
556,0.20193
558,0.17727
560,0.15675
562,0.13870
564,0.11829
566,0.10483
568,0.09101
570,0.08147
572,0.07370
574,0.06144
576,0.05550
578,0.04513
580,0.04181
582,0.03562
584,0.03196
586,0.02688
588,0.02346
590,0.02148
592,0.01872
594,0.01570
596,0.01478
598,0.01201
600,0.01130
602,0.00864
604,0.00943
606,0.00934
608,0.00748
610,0.00642
612,0.00596
614,0.00484
616,0.00581
618,0.00463
620,0.00305
622,0.00349
624,0.00346
626,0.00207
628,0.00308
630,0.00175
632,0.00205
634,0.00275
636,0.00149
638,0.00131
640,0.00193
642,0.00000
644,0.00117
646,0.00127
648,0.00117
650,0.00037
652,0.00047
654,0.00000
656,0.00000
658,0.00000
660,0.00151
662,0.00121
664,0.00045
666,0.00002
668,0.00023
670,0.00041
672,0.00042
674,0.00000
676,0.00009
678,0.00000
680,0.00000
682,0.00116
684,0.00090
686,0.00000
688,0.00000
690,0.00003
692,0.00000
694,0.00135
696,0.00013
698,0.00030
700,0.00000
