# Red LED (AlInGaP), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~626 nm. CIE 1931 xy=(0.685,0.313).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 4 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00000
352,0.00000
354,0.00000
356,0.00087
358,0.00069
360,0.00000
362,0.00000
364,0.00000
366,0.00147
368,0.00000
370,0.00032
372,0.00000
374,0.00000
376,0.00000
378,0.00136
380,0.00000
382,0.00214
384,0.00000
386,0.00207
388,0.00000
390,0.00535
392,0.00032
394,0.00090
396,0.00125
398,0.00175
400,0.00224
402,0.00157
404,0.00124
406,0.00026
408,0.00060
410,0.00000
412,0.00017
414,0.00000
416,0.00101
418,0.00063
420,0.00000
422,0.00000
424,0.00000
426,0.00000
428,0.00000
430,0.00016
432,0.00115
434,0.00000
436,0.00019
438,0.00000
440,0.00062
442,0.00058
444,0.00205
446,0.00091
448,0.00000
450,0.00027
452,0.00000
454,0.00000
456,0.00177
458,0.00000
460,0.00013
462,0.00000
464,0.00016
466,0.00000
468,0.00000
470,0.00025
472,0.00000
474,0.00027
476,0.00119
478,0.00000
480,0.00021
482,0.00009
484,0.00000
486,0.00024
488,0.00000
490,0.00023
492,0.00000
494,0.00147
496,0.00000
498,0.00011
500,0.00000
502,0.00000
504,0.00000
506,0.00000
508,0.00127
510,0.00028
512,0.00061
514,0.00026
516,0.00000
518,0.00000
520,0.00003
522,0.00000
524,0.00011
526,0.00000
528,0.00025
530,0.00000
532,0.00000
534,0.00148
536,0.00000
538,0.00019
540,0.00042
542,0.00000
544,0.00035
546,0.00025
548,0.00042
550,0.00097
552,0.00172
554,0.00053
556,0.00049
558,0.00006
560,0.00000
562,0.00040
564,0.00079
566,0.00088
568,0.00133
570,0.00184
572,0.00217
574,0.00255
576,0.00293
578,0.00479
580,0.00532
582,0.00712
584,0.00939
586,0.01104
588,0.01404
590,0.01939
592,0.02425
594,0.02939
596,0.03899
598,0.04804
600,0.06084
602,0.07430
604,0.09518
606,0.11912
608,0.15082
610,0.18539
612,0.23720
614,0.30174
616,0.38717
618,0.48844
620,0.62085
622,0.76996
624,0.90991
626,1.00000
628,0.96019
630,0.77194
632,0.54367
634,0.36029
636,0.24999
638,0.16821
640,0.11800
642,0.07989
644,0.05582
646,0.03685
648,0.02662
650,0.01823
652,0.01296
654,0.00947
656,0.00657
658,0.00542
660,0.00406
662,0.00330
664,0.00286
666,0.00141
668,0.00113
670,0.00160
672,0.00098
674,0.00037
676,0.00076
678,0.00005
680,0.00034
682,0.00089
684,0.00000
686,0.00000
688,0.00070
690,0.00094
692,0.00000
694,0.00025
696,0.00000
698,0.00017
700,0.00000
