# Royal-blue LED (white-LED pump colour) (InGaN), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~450 nm. CIE 1931 xy=(0.153,0.026).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 22 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00246
352,0.00048
354,0.00132
356,0.00000
358,0.00066
360,0.00000
362,0.00000
364,0.00110
366,0.00000
368,0.00000
370,0.00053
372,0.00000
374,0.00062
376,0.00000
378,0.00000
380,0.00000
382,0.00000
384,0.00206
386,0.00000
388,0.00218
390,0.00000
392,0.00000
394,0.00031
396,0.00000
398,0.00000
400,0.00070
402,0.00042
404,0.00051
406,0.00009
408,0.00127
410,0.00298
412,0.00217
414,0.00386
416,0.00371
418,0.00865
420,0.01070
422,0.01695
424,0.02303
426,0.03379
428,0.05067
430,0.07313
432,0.10382
434,0.14529
436,0.20102
438,0.27812
440,0.38144
442,0.52103
444,0.69035
446,0.85517
448,0.97664
450,1.00000
452,0.91685
454,0.76906
456,0.60764
458,0.47548
460,0.38117
462,0.32566
464,0.28183
466,0.23263
468,0.18719
470,0.14571
472,0.11410
474,0.08890
476,0.07013
478,0.05724
480,0.04746
482,0.04002
484,0.03241
486,0.02602
488,0.02069
490,0.01581
492,0.01414
494,0.01135
496,0.00919
498,0.00752
500,0.00615
502,0.00593
504,0.00497
506,0.00367
508,0.00346
510,0.00258
512,0.00188
514,0.00190
516,0.00164
518,0.00131
520,0.00052
522,0.00150
524,0.00114
526,0.00178
528,0.00094
530,0.00119
532,0.00166
534,0.00116
536,0.00092
538,0.00133
540,0.00127
542,0.00148
544,0.00008
546,0.00131
548,0.00000
550,0.00013
552,0.00072
554,0.00055
556,0.00040
558,0.00063
560,0.00079
562,0.00000
564,0.00000
566,0.00048
568,0.00126
570,0.00065
572,0.00076
574,0.00108
576,0.00071
578,0.00124
580,0.00002
582,0.00093
584,0.00064
586,0.00076
588,0.00052
590,0.00015
592,0.00090
594,0.00000
596,0.00110
598,0.00172
600,0.00014
602,0.00006
604,0.00026
606,0.00050
608,0.00060
610,0.00004
612,0.00017
614,0.00025
616,0.00000
618,0.00038
620,0.00000
622,0.00000
624,0.00077
626,0.00089
628,0.00023
630,0.00028
632,0.00000
634,0.00000
636,0.00004
638,0.00014
640,0.00006
642,0.00048
644,0.00077
646,0.00000
648,0.00078
650,0.00046
652,0.00000
654,0.00014
656,0.00149
658,0.00000
660,0.00000
662,0.00016
664,0.00000
666,0.00049
668,0.00021
670,0.00013
672,0.00061
674,0.00000
676,0.00000
678,0.00000
680,0.00052
682,0.00032
684,0.00000
686,0.00000
688,0.00002
690,0.00000
692,0.00032
694,0.00071
696,0.00002
698,0.00000
700,0.00000
