# Violet LED (InGaN), peak-normalized measured SPD, 350-700 nm at 2 nm.
# Peak ~400 nm. CIE 1931 xy=(0.185,0.044).
# Source: Harald Brendel, "Spectral Power Distribution of LED" (2021),
#   https://haraldbrendel.com/ledspd.html (row 27 of led_spd_350_700.csv). Licensed CC BY-SA 4.0;
#   this derived, peak-normalized file is likewise CC BY-SA 4.0.
wavelength_nm,relative_power
350,0.00000
352,0.00000
354,0.00000
356,0.00061
358,0.00093
360,0.00215
362,0.00000
364,0.00140
366,0.00000
368,0.00107
370,0.00000
372,0.00277
374,0.00437
376,0.00560
378,0.00877
380,0.01402
382,0.02443
384,0.04145
386,0.06838
388,0.11078
390,0.18168
392,0.28729
394,0.43846
396,0.64359
398,0.86468
400,1.00000
402,0.95139
404,0.74762
406,0.54114
408,0.38512
410,0.29213
412,0.22667
414,0.16777
416,0.12210
418,0.08638
420,0.06351
422,0.04825
424,0.03751
426,0.02845
428,0.02134
430,0.01662
432,0.01205
434,0.00950
436,0.00748
438,0.00624
440,0.00533
442,0.00438
444,0.00237
446,0.00296
448,0.00235
450,0.00226
452,0.00178
454,0.00197
456,0.00115
458,0.00111
460,0.00000
462,0.00131
464,0.00111
466,0.00120
468,0.00048
470,0.00120
472,0.00125
474,0.00107
476,0.00050
478,0.00134
480,0.00099
482,0.00164
484,0.00099
486,0.00118
488,0.00094
490,0.00144
492,0.00123
494,0.00118
496,0.00095
498,0.00123
500,0.00148
502,0.00120
504,0.00118
506,0.00110
508,0.00135
510,0.00096
512,0.00139
514,0.00156
516,0.00099
518,0.00127
520,0.00111
522,0.00105
524,0.00125
526,0.00075
528,0.00136
530,0.00142
532,0.00145
534,0.00150
536,0.00134
538,0.00165
540,0.00140
542,0.00129
544,0.00164
546,0.00127
548,0.00134
550,0.00139
552,0.00111
554,0.00078
556,0.00102
558,0.00115
560,0.00140
562,0.00108
564,0.00145
566,0.00116
568,0.00112
570,0.00137
572,0.00107
574,0.00086
576,0.00080
578,0.00103
580,0.00117
582,0.00107
584,0.00112
586,0.00127
588,0.00125
590,0.00066
592,0.00078
594,0.00122
596,0.00098
598,0.00091
600,0.00101
602,0.00080
604,0.00078
606,0.00053
608,0.00083
610,0.00074
612,0.00049
614,0.00035
616,0.00084
618,0.00034
620,0.00071
622,0.00065
624,0.00060
626,0.00058
628,0.00050
630,0.00064
632,0.00039
634,0.00000
636,0.00020
638,0.00000
640,0.00035
642,0.00079
644,0.00069
646,0.00025
648,0.00064
650,0.00043
652,0.00021
654,0.00000
656,0.00012
658,0.00066
660,0.00029
662,0.00010
664,0.00024
666,0.00005
668,0.00007
670,0.00023
672,0.00000
674,0.00046
676,0.00007
678,0.00007
680,0.00019
682,0.00047
684,0.00034
686,0.00010
688,0.00029
690,0.00036
692,0.00033
694,0.00010
696,0.00000
698,0.00099
700,0.00000
