# USGS splib07 Oak green leaf (public domain, DOI 10.5066/F7RR1WDJ).
# aliases: vegetation
wavelength_nm,reflectance
360.0,0.104
370.0,0.099
380.0,0.097
390.0,0.096
400.0,0.096
410.0,0.095
420.0,0.096
430.0,0.096
440.0,0.097
450.0,0.097
460.0,0.097
470.0,0.098
480.0,0.098
490.0,0.098
500.0,0.099
510.0,0.104
520.0,0.119
530.0,0.144
540.0,0.163
550.0,0.173
560.0,0.174
570.0,0.16
580.0,0.142
590.0,0.131
600.0,0.127
610.0,0.122
620.0,0.115
630.0,0.112
640.0,0.11
650.0,0.105
660.0,0.101
670.0,0.098
680.0,0.098
690.0,0.104
700.0,0.149
710.0,0.263
720.0,0.402
730.0,0.546
740.0,0.668
750.0,0.752
760.0,0.798
770.0,0.818
780.0,0.828
790.0,0.833
800.0,0.837
810.0,0.84
820.0,0.843
830.0,0.846
